Mike Matas,Software engineer
Samantha Power,Political scientist and journalist
Lewis Pugh,Coldwater swimmer
Russ Altman,Big data techno-­optimist and internist
Russell Foster,Circadian neuroscientist
Emma Marris,Environmental writer
Nancy Frates,Mother + ALS Advocate
Noel Bairey Merz,Physician
Janine di Giovanni,Reporter
Jonathan Tepperman,Global affairs thinker
Dustin Yellin,Sculptor 
Laura Carstensen,Psychologist
Jeff Iliff,Neuroscientist
Richard Preston,Writer
Fiorenzo Omenetto,Biomedical engineer
Susan Robinson,"Business executive, entrepreneur"
Jack Conte,"Musician, entrepreneur"
Dave Brain,Planetary scientist
Eli Pariser,Organizer and author
Ian Dunbar,Animal behaviorist
Bjorn Lomborg,Global prioritizer
Nick Sears,Inventor
Matt Kenyon,New media artist
Robin Hanson,"Futurist, social scientist"
Gary Kovacs,
Naomi Oreskes,Historian of science
Jon Bergmann,Educator
Sam Harris,"Neuroscientist, philosopher"
Richard Baraniuk,Education visionary
Stephen Wilkes,Narrative photographer
Nancy Etcoff,Evolutionary psychologist
Chris Anderson,TED Curator
Nick Bostrom,Philosopher
Gian Giudice,Theoretical physicist
J.J. Abrams,Filmmaker
Trevor Aaronson,Journalist
Noriko Arai,AI expert
Rob Dunbar,"Oceanographer, biogeochemist"
Roger Stein,Financial management expert
Jinha Lee,"Interface designer, engineer"
Rachel Armstrong,"Applied scientist, innovator"
Tasso Azevedo,Forester and sustainability activist
Achenyo Idachaba,Green entrepreneur
Doris Kim Sung,Architect
Mark Shaw,Macroencapsulator
Justin Hall-Tipping,Science entrepreneur
Elyn Saks,Mental health law scholar
Karim Abouelnaga,Education entrepreneur
Ngozi Okonjo-Iweala,Economist
Rose George,Curious journalist
Vincent Moon and Naná Vasconcelos,Music icon
Julian Assange,Whistleblower
Alan Russell,Medical futurist
Mitch Resnick,Computer scientist
Sayu Bhojwani,Immigration scholar
Andrew Bastawrous,"Eye surgeon, inventor"
Tom Rielly,Satirist
Judy MacDonald Johnston,Entrepreneur
Jonathan Eisen,Biologist
Phil Hansen,Multimedia artist
Stefan Larsson,Value-based health care advocate
Michelle Borkin,physicist
Dave deBronkart,e-Patient
Kathy Hull,Pediatric psychologist
Don Norman,Cognitive scientist and design critic
Brenda Laurel,Designer and theorist
Paul Conneally,Aid worker
David Rothkopf,Foreign policy strategist
Rodney Mullen,Skater
Derek Paravicini and Adam Ockelford,Musician
Annie Lennox,"Activist, singer-songwriter"
Melissa Garren,Marine biologist
John McWhorter,Linguist
Adam Foss,Juvenile justice reformer
John Legend,"Singer, musician, composer"
Bruce Feiler,Writer
Eduardo Sáenz de Cabezón,Math educator
Kavita Ramdas,Philanthropist
Andreas Raptopoulos,Airborne logistics activist
Antonio Donato Nobre,Scientist
Jun Wang,Genomics researcher
Eric X. Li,Investor and political scientist
Amanda Burden,Urban planner
Boghuma Kabisen Titanji,Clinical researcher
Mark Pagel,Evolutionary biologist
Elizabeth Gilbert,Writer
Benjamin Zander,Conductor
Louie Schwartzberg,Filmmaker
Natasha Hurley-Walker,Astronomer
Jean-Baptiste Michel + Erez Lieberman Aiden,Data researcher
Katherine Fulton,New philanthropist
Julie Burstein,Writer and radio producer
Rory Sutherland,Advertising guru
Mohamed Ali,Human rights advocate
Vincent Cochetel,Humanitarian
Ernesto Sirolli,Sustainable development expert
Manwar Ali,Peace activist
Amos Winter,Mechanical engineer
Kakenya Ntaiya,Educator and activist
David Holt,Folk musician
Carl Safina,"Ecologist, writer"
Scilla Elworthy,Peace builder
Randy Pausch,Professor
Marian Bantjes,"Designer, illustrator, typographer"
Rory Stewart,Politician
Isaac Lidsky,"Author, entrepreneur"
James Balog,Photographer
Brian Skerry,Photographer
Kevin Stone,"Surgeon, inventor"
Conrad Wolfram,Mathematician
Rose Goslinga,Microinsurer
Amy Webb,"Founder and CEO, Future Today Institute"
Alain de Botton,Philosopher
Renata Salecl,Theorist
Ajit Narayanan,Visual grammar engine inventor
Mark Forsyth,Writer
Neil MacGregor,Director of The British Museum
Oliver Sacks,Neurological anthropologist
Frank Gehry,Architect
Lisa Dyson,Sustainability crusader
Samantha Nutt,"Doctor, writer and humanitarian"
Avi Reichental,3D printer
Theaster Gates,"Artist, potter, community builder"
Giorgia Lupi,Information designer
Daniel Kraft,Physician scientist
Gabe Zichermann,"Entrepreneur, author"
Clifford Stoll,"Astronomer, educator, skeptic"
Alessandro Acquisti,Privacy economist
Caleb Barlow,Cybercrime fighter
Danny Hillis,Computer theorist
Peter Gabriel,"Musician, activist"
Alan Siegel,"Executive, simplicity guru"
Stephen Lawler,General manager of Microsoft's Virtual Earth
Daniel Goleman,Psychologist
Thomas Piketty,Economist
Josh Luber,Sneaker data expert
David Gruber,"Marine biologist, explorer-photographer"
Aubrey de Grey,Crusader against aging
Leslie Morgan Steiner,Writer
J.D. Vance,Author
Michael Green,Architect
Chris Milk,Immersive storyteller
Charity Wayua,Public sector researcher
Michael Porter,Business strategist
Jason deCaires Taylor,Sculptor
Keith Nolan,Teacher
Richard Resnick,Entrepreneur
Steve Jobs,Visionary
Hasan Elahi,Privacy artist
Paddy Ashdown,Diplomat
Lucy McRae,Body architect 
Mick Mountz,"CEO, Kiva Systems"
Mathias Jud,Artist
Sharon Brous,Rabbi
Daniel Kahneman,Behavioral economics founder
Britta Riley,"Artist, urban farmer"
William McDonough,Architect
Jaap de Roode,Biologist
Tiq Milan and Kim Katrin Milan,Transgender activist
Anne-Marie Slaughter,Public policy thinker
David Bolinsky,Medical animator
Tim Ferriss,"Investor, human guinea pig, author"
Peter Diamandis,Space activist
Ari Wallach,Futurist
Cameron Herold,Entrepreneur
Marla Spivak,Bees scholar
Mick Cornett,Mayor
Kristen Ashburn,Photographer
Natalie Panek,"Rocket scientist, explorer"
Niels Diffrient,Designer
Sean Carroll,"Physicist, cosmologist"
Steve Howard,Corporate innovator
Reed Kroloff,Architecture critic
Tania Luna,Surprisologist
Joshua Smith,Cancer fighter
Michael Rubinstein,"Research scientist, Google"
Molly Winter,Designer
Khadija Gbla,Cross-cultural consultant
Jay Bradner,Research scientist
Triona McGrath,Chemical oceanographer
Rick Smolan,Photographer
Tyrone Hayes + Penelope Jagessar Chaffer,Biologist
Robert Gupta + Joshua Roman,Violinist
Kirby Ferguson,Filmmaker and Remixer
Raghava KK,Artist
Deborah Gordon,Ecologist
Kimberley Motley,International litigator
Lisa Kristine,Photographer
Mandy Len Catron,Writer
Tristram Stuart,Author and Activist
Maz Jobrani,Comedian
Ali Carr-Chellman,Instructional designer
Murray Gell-Mann,Physicist
"Amanda Palmer, Jherek Bischoff, Usman Riaz","Musician, blogger"
Thomas P. Campbell,Museum director
Danielle de Niese,Soprano
Rachel Botsman,Trust researcher
Charles Hazlewood,Conductor
Roz Savage,Ocean rower
Anders Fjellberg,Journalist
Guy-Philippe Goldstein,Author
Sleepy Man Banjo Boys,Bluegrass musicians
Taryn Simon,Photographer
Luke Syson,Curator
Lemn Sissay,Poet and playwright
Kate Adams,Digital storyteller
Rebecca Saxe,Cognitive neuroscientist
Srikumar Rao,Happiness teacher
Yves Morieux,Consultant
Tony Robbins,Life coach; expert in leadership psychology
Jennifer Granholm,Former governor of Michigan
Latif Nasser,Radio researcher
Noreena Hertz,Economist
John Searle,Philosopher
Stella Young,"Comedian, journalist, activist"
Nadia Lopez,Educator
Magnus Larsson,Dune architect
Eleanor Longden,Research psychologist
Yuval Noah Harari,Historian
Evan Grant,Creative technologist
Liz Hajek,Geoscientist
David Byrne,"Musician, artist, writer"
Iain Hutchison,Facial surgeon
Simon Anholt,Policy advisor
Dorothy Roberts,"Professor, author and social justice advocate"
Chris Bliss,Writer
Adam Grosser,Venture capitalist
Stefan Sagmeister,Graphic designer
Vikram Patel,Mental health care advocate
Eythor Bender,Berkeley Bionics' CEO
Gabriel Barcia-Colombo,Video sculptor
Khalida Brohi,Women’s rights activist and entrepreneur
Francis Collins,"Geneticist, physician"
Moshe Safdie,Architect
Wingham Rowan,Policy entrepreneur
Bilal Bomani,NASA scientist
Kevin Surace,"Engineer, executive"
Wanuri Kahiu,"Filmmaker, writer"
Leana Wen,"Emergency physician, public health advocate"
Jane Fonda,Actor and activist
Jennifer Senior,Writer
David Miliband,Refugee advocate
Damon Horowitz,"Philosopher, entrepreneur"
Christiana Figueres,Climate advocate
Aleph Molinari,"Economist, techno-activist"
Susan Lim,Surgeon
Nathan Myhrvold,Polymath
Gavin Schmidt,Climate scientist
Tom Hulme,"Designer, venturer"
Rory  Bremner,Comedian
Ingrid Betancourt,"Writer, peace advocate"
Dan Dennett,"Philosopher, cognitive scientist"
Laura Snyder,Science historian
Handspring Puppet Co.,Puppeteers
Ryan Lobo,Photographer
Margaret Wertheim,Figurer
Jennifer 8. Lee,Reporter
John Lloyd,Producer
Bernie Krause,Natural sounds expert
Jeffrey Brown,Pastor
Bertrand Piccard,Solar adventurer
Michael Shermer,Skeptic
Juliana Rotich,Tech entrepreneur
Miranda Wang and Jeanny Yao,Science fair winners
Ludwick Marishane,Entrepreneur
Wendy Chung,Geneticist
Maryn McKenna,Public health journalist
Susan Blackmore,Memeticist
Pamelia Kurstin,Theremin player
Marco Tempest,Techno-illusionist
Tim Jackson,Economist
Paula Scher,Designer at play
Kate Marvel,Climate scientist
Andras Forgacs,Bioprinting entrepreneur
Michael Stevens,YouTube educator
Eric Whitacre,"Composer, conductor"
Mariana Mazzucato,Innovation economist
Einstein the Parrot,African grey parrot
Kwame Anthony Appiah,Philosopher
Ken Kamler,Adventure physician 
Lee Mokobe,Poet
Ji-Hae Park,Violinist
Steven Pinker and Rebecca Newberger Goldstein,Philosopher and writer
Takaharu Tezuka,Architect
Jackie Tabick,Spiritual leader
Aris Venetikidis,Mapmaker
Helen Czerski,Physicist
David Hoffman,Filmmaker
Hector Ruiz,CEO
Michael Sandel,Political philosopher
Bill Gross,Idea guy
James Burchfield,Human beatbox
Karen Thompson Walker,Novelist
Lisa Gansky,Entrepreneur
Manu Prakash,"Physicist, inventor"
Max Little,Applied mathematician
Abigail Marsh,Psychologist
Ayah Bdeir,Engineer and artist
Andrew Mwenda,Journalist
Adam Alter,Psychologist
Patience Mthunzi,Laser scientist
Chimamanda Ngozi Adichie,Novelist
JP Rangaswami,Technologist
George Takei,Actor and activist
Pierre Thiam,Chef
Ron Finley,Gardener
Joy Sun,Veteran aid worker
Sheena Iyengar,Psycho-economist
Roberto D'Angelo + Francesca Fedeli,Parents
Paul Gilding,Writer
Derek Sivers,Entrepreneur
Hector Garcia,Psychologist
Malcolm Gladwell,Writer
Blaise Agüera y Arcas,Software architect
Brian Greene,Physicist
Andrea Ghez,Astronomer
Seth Shostak,Astronomer
Thomas Dolby,Electronic music pioneer
Ethan Nadelmann,Drug policy reformer
Rachel Sussman,"Artist, photographer"
Sarah Gray,Researchers' dream donator
Yochai Benkler,Legal expert
Jon Nguyen,Engineer
George Ayittey,Economist
Marc Abrahams,Science humorist
Geraldine Hamilton,Bio researcher
Sherwin Nuland,Doctor
Jeremy Heimans,Activist
Ronald Sullivan,Clinical professor of law
Raffaello D'Andrea,Autonomous systems pioneer
Henry Markram,Neuroscientist
Kirk Citron,Media expert 
Christoph Adami,Artificial life researcher
Jimmy Wales,Founder of Wikipedia
Billie Jean King,Tennis legend and activist
Neil Pasricha,"Director, The Institute for Global Happiness"
Courtney E. Martin,Journalist
Kevin Allocca,YouTube trends manager
Michele L. Sullivan,Social innovator
Young-ha Kim,Writer
James Beacham,Experimental particle physicist
Tom Honey,Priest
Zahra' Langhi,Activist
Carolyn Porco,Planetary scientist
Benjamin Wallace,Author
Tyler DeWitt,Science enthusiast
Jamie Bartlett,Social media analyst
Heather Barnett,Artist
Anil Seth,Cognitive neuroscientist
Elizabeth Lindsey,"Explorer, ethnographer"
Shabana Basij-Rasikh,Educator
Sharmeen Obaid-Chinoy,Filmmaker
Jane Poynter,Biospherian
Ahn Trio,Piano trio
Christien Meindertsma,Artist
Iain McGilchrist,Psychiatrist and writer
Pattie Maes + Pranav Mistry,Researcher
Jason Clay,Market transformer
Alex Wissner-Gross,"Scientist, entrepreneur, inventor"
Gayle Tzemach Lemmon,Reporter
Mundano,Graffiti artist + activist
Bill Ford,"Executive chair, Ford Motor Co."
Rana el Kaliouby,Computer scientist
Lawrence Lessig,Legal activist
Roy Gould + Curtis Wong,Researcher
Ashley Judd,"Actor, activist"
Sandi Toksvig,"Broadcast personality, politician, author"
Shawn Achor,Psychologist
Anand Giridharadas,Writer
Meg Jay,Clinical psychologist
Jedidah Isler,Astrophysicist
Sendhil Mullainathan,Behavioral economist
Holly Morris,Explorer and filmmaker
Jessica Jackley,Microlender
Laura Vanderkam,Author
Fabian Oefner,Photographer
Danit Peleg,Fashion designer
Emiliano Salinas,Community activist
Hendrik Poinar,Evolutionary geneticist
Anthony D. Romero,"Attorney, public-interest activist"
Paul Rothemund,DNA origamist
Kenichi Ebina,Dancer
Michel Laberge,Plasma physicist
Francesco Sauro,Speleologist
Peter Molyneux,Game changer
Eva Vertes,Neuroscience and cancer researcher
Peter Norvig,Computer scientist
Jennifer Brea,Filmmaker
Ze Frank,"Humorist, web artist"
Sanjay Pradhan,Development Leader
Loretta Napoleoni,Macroeconomist
Rosie King,Storytelling activist
Billy Graham,Preacher
Susan Pinker,Developmental psychologist
David McCandless,Data journalist
Honor Harger,Artist
Wolfgang Kessling,Physicist
Roselinde Torres,Leadership expert
Peter Weinstock,Pediatric ICU doctor
Carl Schoonover,Neuroscience PhD student + writer
John Hodgman,Expert
Lalitesh Katragadda,Engineer
Peter Tyack,Behavioral ecologist
Chade-Meng Tan,Google Fellow
Jill Farrant,Professor of molecular and cell biology
Peggy Orenstein,"Journalist, author"
Chris Abani,"Novelist, poet"
Sophal Ear,Development economist
Naturally 7,A capella ensemble
Claron McFadden,Soprano
Hod Lipson,Roboticist
Regina Hartley,"Human Resources Manager, UPS"
Katherine Kuchenbecker,Mechanical engineer
Andrew Connolly,Astronomer
Liza Donnelly,Cartoonist 
Suzanne Talhouk,Poet and language advocate
Julian Baggini,Philosopher
Timothy Bartik,Economist
Asha de Vos,Protector of whales
Simon Lewis,"Author, producer"
Ramesh Raskar,Femto-photographer
Riccardo Sabatini,"Scientist, entrepreneur"
Kelli Jean Drinkwater,"Artist, activist "
Rokia Traore,Singer-songwriter
David Rockwell,"Architect, experience designer"
Jody Williams,Nobel peace laureate
Didier Sornette,Risk economist
Jack Horner,Dinosaur digger
Joi Ito,Relentless mind
Tim Brown,Designer
Guy Winch,"Psychologist, author"
Jamila Raqib,Peacemaker
Jill Sobule + Julia Sweeney,Singer/songwriter
Carvens Lissaint,Performance artist
Frederic Kaplan,Digital humanities researcher
Peter Reinhart,Baker
Amy Lockwood,Global development worker
Malte Spitz,"Politician, data activist"
Damian Palin,Biological miner
Esther Perel,Relationship therapist
Johann Hari,Journalist
Craig Venter,"Biologist, genetics pioneer"
Patsy Rodenburg,Acting and voice coach
Alice Rawsthorn,Design critic
Shubhendu Sharma,Eco-entrepreneur
Erica Frenkel,Medical technologist
Morgana Bailey,Human resources professional
Robin Ince,Comedian
Marc Goodman,Global Security Futurist
Ananda Shankar Jayant,Dancer and choreographer
Richard Browning,"Founder, Gravity"
Alan Kay,Educator and computing pioneer
Jonas Eliasson,Transportation specialist
Hawa Abdi + Deqo Mohamed,Somali doctors who treat women refugees
Larry Page,CEO of Google
Jimmy Carter,Peace activist
Caitria + Morgan O'Neill,Disaster relief expert
Van Jones,Social justice and green energy activist
His Holiness the Karmapa,Spiritual leader
Sheryl Sandberg,"COO, Facebook"
Marina Abramović,Performance artist
Luis von Ahn,Computer scientist
Alec Soth + Stacey Baker,Photo editor
Tierney Thys +  Plankton Chronicles Project,Marine biologist
Marcus du Sautoy,Mathematician
Terry Moore,Thinker
Sheikha Al Mayassa,"Founder, Doha Film Institute"
Jay Silver,Inventor
Robin Nagle,Trash anthropologist
Howard Rheingold,Digital community builder
Frank Warren,Secret keeper
Sasha Dichter,Nonprofit VC
Norman Spack,Endocrinologist
Jim Holt,Writer and philosopher
Anne Madden,"Microbiologist, inventor and strategist"
Larry Smith,"Professor of Economics, University of Waterloo"
Jim Fallon,Neurobiologist
James Nachtwey,Photojournalist
Joseph Pine,Writer
Harry Cliff,Particle physicist
Reuben Margolin,Kinetic sculptor
Christopher deCharms,Brain researcher
Deborah Lipstadt,Historian
Thomas Insel,Neuroscientist and psychiatrist
Ed Ulbrich,Visual storyteller
Toby Shapshak,Technology writer
Jessica Ladd,"Founder and CEO, Callisto"
Johanna Blakley,Media maven
Tali Sharot,Cognitive neuroscientist
Caitlin Doughty,Progressive mortician
Jean-Baptiste Michel,Data researcher
Mitchell Joachim,"Architect, designer"
Sitawa Wafula,Mental health advocate
Philip Zimbardo,Psychologist
Vanessa Ruiz,Anatomical artist
"Gretchen Carlson, David Brooks","TV journalist, women's empowerment advocate"
Mehdi Ordikhani-Seyedlar,Neuroscientist
Cheryl Hayashi,Spider silk scientist
Nicolas Perony,Animal scientist
Alexander Wagner,Economist
Deb Roy,Cognitive scientist
Patrick Chappatte,Editorial cartoonist
Kevin Bales,Anti-slavery activist
Amit Sood,Technologist
Marcus Byrne,Entomologist
Robert Palmer,"Campaign leader, Global Witness"
Vijay Kumar,Roboticist
Dan Phillips,Builder
Brian Dettmer,
Carolyn Bertozzi,Chemical biologist
Roger McNamee,Tech investor
Ian Ritchie,Software entrepreneur
Mike Biddle,Plastics recycler
Thomas Pogge,Philosopher
